Country,Coverage,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 3+,Period from,Period to,IPC/CH
Afghanistan,99.0%,15823828,20680215,7925695,1594616,,9520311,May-25,Oct-25,IPC
Benin,100.0%,11403475,1378506,308306,,,308306,Jun-25,Aug-25,CH
Burundi,93.0%,5810116,4678505,1800242,,,1800242,Oct-25,Dec-25,IPC
Cabo Verde,100.0%,401419,73530,35294,,,35294,Jun-25,Aug-25,CH
Cameroon,100.0%,20379127,5456450,2310847,309645,,2620492,Jun-25,Aug-25,CH
Central African Republic,100.0%,2017627,2654104,1543717,287029,,1830746,Sep-25,Mar-26,IPC
Chad,100.0%,9270098,5096161,3018864,288845,,3307709,Jun-25,Aug-25,CH
Côte d'Ivoire,100.0%,20028369,3358902,1169560,44371,,1213931,Jun-25,Aug-25,CH
Djibouti,100.0%,467216,484802,174969,54693,,229662,Jul-25,Dec-25,IPC
Eswatini,100.0%,460915,500422,244359,14434,,258793,Oct-25,Mar-26,IPC
Gambia,100.0%,1564669,614106,236290,7647,,243937,Jun-25,Aug-25,CH
Gaza Strip,94.0%,,,197922,1140651,640646,1979219,Aug-25,Sep-25,IPC
Ghana,100.0%,25394314,4861276,1896310,122362,,2018672,Jun-25,Aug-25,CH
Guatemala,100.0%,8624344,6847743,2422927,184801,,2607728,Sep-25,Jan-26,IPC
Guinea,100.0%,8582747,3699808,1675353,91013,,1766366,Jun-25,Aug-25,CH
Guinea-Bissau,100.0%,1298533,371884,146034,,,146034,Jun-25,Aug-25,CH
Haiti,100.0%,2536622,3059549,3802136,1895492,,5697628,Sep-25,Feb-26,IPC
Lesotho,64.0%,589911,591620,334113,,,334113,Oct-25,Mar-26,IPC
Mali,99.0%,17962864,4038426,1451211,19239,2645,1473095,Jun-25,Aug-25,CH
Mauritania,100.0%,3112878,1224200,578579,11873,,590452,Jun-25,Aug-25,CH
Namibia,99.0%,1157294,1253174,611932,,,611932,Oct-25,Mar-26,IPC
Niger,100.0%,18843904,6255333,2105795,115132,,2220927,Jun-25,Aug-25,CH
Nigeria,99.0%,83854416,91987384,29441978,1182487,,30624465,Jun-25,Aug-25,CH
Pakistan,21.0%,23333581,17463260,9284135,707675,,9991810,Apr-25,Jul-25,IPC
Senegal,99.0%,13419407,4342915,1221657,91985,,1313642,Jun-25,Aug-25,CH
Sierra Leone,100.0%,4781759,2735823,1119019,103285,,1222304,Jun-25,Aug-25,CH
Somalia,100.0%,7965319,6964278,3430085,921168,,4351253,Oct-25,Dec-25,IPC
South Sudan,100.0%,1937072,3927876,5221768,2426372,83463,7731603,Apr-25,Jul-25,IPC
Togo,100.0%,4391212,1308388,624560,,,624560,Jun-25,Aug-25,CH
United Republic of Tanzania,7.0%,3631602,959207,241622,,,241622,Jun-25,Oct-25,IPC
Yemen,100.0%,7129908,9622609,12573776,5511620,41167,18126563,Sep-25,Feb-26,IPC
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

